题号,标题,链接,核心思路,是否重点
34,34. Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,找到左边界和右边界，左边界，=target的时候收紧右，右边界，=target的时候收紧左。left=0，right=length，左闭右开，闭的+1，开的不用加。,否
37,37. Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,看成一位数组，从0开始，i=index/9，j=index%9，判断是不是valid，行，列，当前3*3，是的话，赋值，index+1，visit，在复位,否
39,39. Combination Sum,https://leetcode.com/problems/combination-sum/,start，sum，list visit（start）- 可以有重复,否
40,40. Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,排序，通过nums[i]==nums[i-1]来剪枝，start，sum，list visit （start+1）,否
42,42. Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,双指针，左侧最高，右侧最高，那边比较低，将指针往前，并且记录最大和当前的差值，累加,否
45,45. Jump Game II,https://leetcode.com/problems/jump-game-ii/,计算下一个next，当前nums[i]+i的最大值，然后step++,否
46,46. Permutations,https://leetcode.com/problems/permutations/,回溯，used记录visited，用一个list来visit，add，visit next，remove,否
47,47. Permutations II,https://leetcode.com/problems/permutations-ii/,1，n，通过i>0 && nums[i-1]==nums[i] && !used[i-1]来剪枝，用used来剪枝，visit,是
48,48. Rotate Image,https://leetcode.com/problems/rotate-image/,先对角线互换，然后每一行reverse,否
50,"50. Pow(x, n)",https://leetcode.com/problems/powx-n/description/,"n → long, n<0, 1/pow(x,-n), n%2==1, x&pow(x, n-1) else if (n> 1), pow(x,n/2)*pow(x, n/2) else 1.",否
51,51. N-Queens,https://leetcode.com/problems/n-queens/,用int[]来记录一组解，row == 9结束，不然判断是不是valid（col不能有值，对角不能有值），row++，继续。,否
52,52. N-Queens II,https://leetcode.com/problems/n-queens-ii/,只是res+1，同51,是
53,53. Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,"dp[nums.length+1], dp[0]=0, dp[i] = max(dp[i-1]+nums[i-1], nums[i-1]), get max dp",否
54,54. Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,59，设定left，right，top，bottom，不断缩小边界,否
55,55. Jump Game,https://leetcode.com/problems/jump-game/,确保i < max(nums[i]+i),是
57,"57. Insert Interval,",https://leetcode.com/problems/insert-interval/description/,待补充,否
58,58. Length of Last Word,https://leetcode.com/problems/length-of-last-word/description/,**先trim，从最后一个字符开始，找到第一个空格，length++,否
59,59. Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,待补充,否
61,61. Rotate List,https://leetcode.com/problems/rotate-list/,先reverse整个list，然后找到分别reverse 前K个，和后K个，链接起来,是
63,63. Unique Paths II,https://leetcode.com/problems/unique-paths-ii/description/,"dp[0][0] =1; if (grid[i][j]==1), dp[i][j]=0; else grid[i][j] = grid[i-1][j] + grid[i][j-1]",否
64,64. Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,"dp[i][j] = max(dp[i-1][j], dp[i][j-1])+grid[i][j]",是
67,67. Add Binary,https://leetcode.com/problems/add-binary/description/,****从末尾开始，posA，posB，通过inc来计算要不要进位，如果一个结束了，那么就算另一个。,否
68,68. Text Justification,https://leetcode.com/problems/text-justification/description/,先分组，在对于每组单词进行format，分为一个单词和最后一行一种情况，以及多个单词一种情况。,否
69,69. Sqrt(x),https://leetcode.com/problems/sqrtx/description/,"二分查询 x≤1 return x, left = 1; right = x/2+1, 二分查询，mid，和x/mid，如果mid > x/mid，那么要减小，right=mid，否则是增加left = mid+1，最后返回left-1",否
71,71. 简化路径,https://leetcode.com/problems/simplify-path/,遇到. 直接忽略，遇到..pop，遇到其他push，最后再输出stack,否
72,72. Edit Distance,https://leetcode.com/problems/edit-distance/,"dp[n+1][m+1], if char(i-1) == char(j-1), memo[0][j]=j, memo[i][0]=i, dp[i][j] = dp[i-1][j-1] else min(dp[i-1][j],dp[i][j-1], dp[i-1[j-1])+1)",否
73,73. Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/submissions/1622281905/,先记录下第一行，第一列有没有0，有的话设firstrowzero，firstcolzero为true，然后遍历剩下的，将0移到第一行，第一列对应的位置，1-n，1-m，如果对应的第一行，第一列为0，那么设为0，然后如果第一行需要为0，将其都变为0，第一列也一样,否
75,75. 颜色分类,https://leetcode.com/problems/sort-colors/,"记录下p0和p2，互换，如果p<p0,设回p0",否
76,76. Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,发现valid=need的情况下，缩小left，记录下最小的right-left的长度，记录当时的start。,否
77,77. Combinations,https://leetcode.com/problems/combinations/,start visit（start+1）=保证不重复,否
78,78. Subsets,https://leetcode.com/problems/subsets/,start visit（start+1）保证不重复,否
79,79. 单词搜索,https://leetcode.com/problems/word-search/,从第一个匹配开始，前后左右，考虑边界，考虑used。,否
80,80. 删除有序数组中的重复项 II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,快慢指针，加一个count,否
82,82. 删除排序链表中的重复元素 II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,快慢指针，记得要记下prev，或者用两个list，一个dup，一个noDup,是
83,83. Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,快慢指针,否
86,86. Partition List,https://leetcode.com/problems/partition-list/,两个dummy list，然后最后连起来，记得要把h的最后节点next设为null,否
88,88. 合并两个有序数组,https://leetcode.com/problems/merge-sorted-array/,从结尾开始，两个指针,否
90,90. Subsets II,https://leetcode.com/problems/subsets-ii/,待补充,否
92,92. Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,用递归，先前进到m，触发25,是
93,93. 复原 IP 地址,https://leetcode.com/problems/restore-ip-addresses/,取1-3个字符，判断是不是合法，组成当前集合，知道字符串最后，如果正好有四个合法串，返回。,否
95,95. Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii/,"memo[0]=1,memo[1]=1,memo[n]，等于memo[i-1]*memo[n-i],",否
96,96. Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees/,"构造[left, right]的树list，然后lefts * rights",是
98,98. Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,给一个最大和最小，比最大的大，或者比最小的小，false，不然node做为左边的最大，右边的最小，遍历左右子树,否
102,102. 二叉树的层序遍历,https://leetcode.com/problems/binary-tree-level-order-traversal/,层序遍历,否
103,103. 二叉树的锯齿形层序遍历 🟠,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,层序遍历，reverse，addFirst/addLast,否
104,104. Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,深度是左右子树深度的max +,否
105,105. Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,preoder，prestart是root，找到inorder的index，找到左边的个数，构造左右子树,否
106,106. Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,postorder，postend是root，找到inorder的index，找到左边的个数，构造左右子树,否
107,107. 二叉树的层序遍历 II 🟠,https://leetcode.com/problems/binary-tree-level-order-traversal-ii,层序遍历 addFirst,否
114,114. Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,待补充,否
116,116. Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,"遍历（node1，node2），三种情况，node1.left, node1.right, node1.right, node2.left, node2.left, node2.right, node1.next = node2;",否
117,117. 填充每个节点的下一个右侧节点指针 II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,层序遍历，加next,否
120,120. Triangle,https://leetcode.com/problems/triangle/description/,"**dp[0][0] = triangle[0][0], dp[i][j] = max(dp[i-1][j-1], dp[i-1][j]) + triangle[i][j] 可以通过从后往前来压缩到一维",否
121,121. Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,"dp[i][k][0] = dp[i-1][k][0] , dp[i-1][k][1]+nums[k]dp[i][k][1]=dp[i-1][k][1], dp[i-1][k-1][0]-nums[k]",是
125,125. Valid Palindrome,https://leetcode.com/problems/valid-palindrome/description/,字符串处理后，left，right 指针判断,否
127,127. 单词接龙,https://leetcode.com/problems/word-ladder/,找到beginword加入队列，通过字典找到next candidates，visited过滤，如果是最后一个了，返回，不然继续。,否
129,129. 求根节点到叶节点数字之和,https://leetcode.com/problems/sum-root-to-leaf-numbers/,遍历（node和前缀），当left=right=null是一个数字，加到结果中，然后在left，right遍历，最后返回结果,是
130,130. Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,将四条边的O和dummy连起来，中间的O和上下左右四个方向的O连起来，最后将不和dummy连起来的O改成X,否
131,131. 分割回文串,https://leetcode.com/problems/palindrome-partitioning/,backtrack，当前list，然后从start往后，拿到子字符串，判断是不是回文，是的话加在当前集合中，继续往下，直到到字符串最后。,否
133,133. Clone Graph,https://leetcode.com/problems/clone-graph/description/,"New Node = create Old Node, bfs, add node into queue, poll old node, get new node from map, go through old node.neighbors, if neighbors has no new node in map, create new neighbor, add new neighbor into new node’s neighbors list.",是
134,134. Gas Station,https://leetcode.com/problems/gas-station/,计算preSum，最小的presum要大于0，最小的presum的那个index就是target,是
135,135. Candy,https://leetcode.com/problems/candy/description/,先都给一粒糖，从左到右，如果右边的大，右边的糖=当前+1，从右到左，如果左边大，左边的糖等于max（当前+1，左边），再遍历拿到total,否
137,137. Single Number II,https://leetcode.com/problems/single-number-ii/description/,建立两个数组都是10000，那num/10000作为index，一个放次数，一个放value，然后遍历这个数组，去除count为1的index，返回对应值,否
138,138. Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,**先遍历list，create new node，用一个map记录old，new，再重新遍历一次list，找到next，random，非null，通过map找到new，赋值,是
141,141. Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,待补充,否
142,142. Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii/,快慢指针，等到相遇的时候讲一个重置为head，然后步进1，再次相遇就是重合点141， 快慢指针，快的追上慢的,否
143,143. 重排链表,https://leetcode.com/problems/reorder-list/,"将链表存在一个stack中，遍历，拿到p，last，next，让p.next=last, last.next=next, p=next; last =next, or last.next=next, 结束。",是
144,144. Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,前序遍历,是
149,149. Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/description/,两重循环，i - 0-n-1，j - i+1-n，i循环的时候设置count map，计算x1-x2，y1-y2的最大公约数，将i/gcd + “ ” + j/gcd存入count map，如果有相同的，count++，计算max count,否
150,150. 逆波兰表达式求值,https://leetcode.com/problems/evaluate-reverse-polish-notation/,遇到表达式，pop 两个值计算，将结果压回，遇到数字，压栈,否
151,151. Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,先reverse，然后再将word reverse回来，去除空格,否
155,155. 最小栈,https://leetcode.com/problems/min-stack/,待补充,否
160,160. Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,将两个list连起来，先a后b，或者先b后a，重复node就是答案,否
162,162. Find Peak Element,https://leetcode.com/problems/find-peak-element/description/,二分查找，如果只有一个数，就是当前数，只有两个数，大的那个，三个或以上，left=1，right=n-2，mid，mid-1，mid+1，比较，如果最大，返回当前数，不然看mid-1大，还是mid+1大，修改left，right。,否
167,167. Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,左右指针,否
174,174. Dungeon Game,https://leetcode.com/problems/dungeon-game/,"dp[i][j]=Min(dp[i+1][j], dp[i][j+1]) - grid[i][j], d[i][j]≤0 d[i][j]=1",否
198,198. House Robber,https://leetcode.com/problems/house-robber/,"dp[i] = max(dp[i-2]+nums[i], dp[i-1])",否
199,199. 二叉树的右视图,https://leetcode.com/problems/binary-tree-right-side-view/,层级遍历，先放right，再放left，那么第一个元素加到res中，最后返回res。或者前序遍历，如果当前depth（>res.size），那就是第一个，加到res中，还是先right，后left。,否
200,200. Number of Islands,https://leetcode.com/problems/number-of-islands/,dfs，填平，计数695，记录面积，填平，比较,是
201,201. Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range/description/,先将right和right-1取并，变成新的right，然后将right和left取并。,否
204,204. Count Primes,https://leetcode.com/problems/count-primes/,"开始所有都是prime=true，从2开始到i*i<n, 对于i的话i*i 之后step i的都不是。计算prime=true的个数。",否
206,206. Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,"用递归，[head.next](http://head.next/).next = head, head.next = null;",否
207,207. Course Schedule,https://leetcode.com/problems/course-schedule/,用DFS，深度优先，先构造临接表，然后遍历i，记录onPath，和visited，如果当前i在onPath，返回false，否则加入onPath，visited为true，然后遍历子节点，遍历完后onPath为false。用BFS，广度优先，构造临接表，然后算入度，入度为0加入queue的先遍历，将对应的节点入度-1，继续加入入度为0的到queue，直到q为空，如果所有node都遍历的，返回true，否则返回false（有环）,否
209,209. 长度最小的子数组,https://leetcode.com/problems/minimum-size-subarray-sum/,如果》target，就看看移动left，同时计算right-left的最小值,否
210,210. Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,用BFS，将入度0的以此加入res数组，用DFS，遍历子节点后，在后序遍历位置加入节点，最后将queue反转（也可以用stack）,是
213,213. House Robber II,https://leetcode.com/problems/house-robber-ii/,"dp[i] = max (dp(nums, 0, n-1), dp(nusm, 1, n-2))",否
216,216. Combination Sum III,https://leetcode.com/problems/combination-sum-iii/,"start，sum, list, visit (start+1) - 保证不重复，",否
219,219. 存在重复元素 II,https://leetcode.com/problems/contains-duplicate-ii/,"用一个set来记录数字，如果在set中，如果right-left>k,就需要移动left",是
220,220. 存在重复元素 III,https://leetcode.com/problems/contains-duplicate-iii/,用treeset ceiling和floor来发现abs，如果符合要求就返回return，不然right-left>k就要移动left,否
222,222. Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes/,"计算left的层数，right的层数，如果相同那就是完全二叉树，2^level-1, 否则就是count(left)+count(right)+1",否
225,225. Implement Stack using Queues,https://leetcode.com/problems/implement-stack-using-queues/,记录top，push的时候还是push，记录top，pop的话遍历queue，修改top为最后第二个元素，poll,否
226,226. Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,"反转左子树，反转右子树，root.left = right, root.right = left",否
230,230. Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,中序遍历，全局index记录顺序,否
232,232. Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks/,两个stack，top，bottom，push的时候push到top，pop的时候，先从top压到bottom，拿bottom的头，empty两个stack都是空,是
234,234. Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/,用递归，left，right，res都是全局变量,否
235,235. Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,val1 为小的，val2为大的，如果node比val2都大，找left，比val1都小，找right，中间，返回node。,否
236,236. Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,node的值等于val1或者val2，返回node，否则找left，right，两者都非空，返回node，否则返回非空的。,是
238,238. Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/description/,**从左到右，记录下preProd，然后从右到左，记录postProd，相乘,否
253,253. Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,找begin和end，双指针，begin ++，end—，看中间最大的count,否
257,257. 二叉树的所有路径,https://leetcode.com/problems/binary-tree-paths/,遍历（node和前缀），当left=right=null是一条路径，放全局list中，然后在left，right遍历，最后返回结果,否
263,263. Ugly Number,https://leetcode.com/problems/ugly-number/,是不是除于2/3/5之后最后变成1.,否
264,264. Ugly Number II,https://leetcode.com/problems/ugly-number-ii/,"记录下2，3，5分别用到了第几个数，比较2*ugly[count2],3*ugly[count3],5*ugly[count5], 最小的就是后续的数字，increase count，index计数",否
283,283. Move Zeroes,https://leetcode.com/problems/move-zeroes/,待补充,否
289,289. Game of Life,https://leetcode.com/problems/game-of-life/description/,"用三个数组，记录前一行，当前行，下一行的[-1,0,1]的1的个数。for 0-n，根据prev，curr，next计算值",是
295,295. Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/description/,用两个priority query，一个最大堆，一个最小堆，每次都是将值放在最大堆，同时从最大堆取出最大值，放入最小堆。保证最大堆个数总是小于等于最大堆。如果两个堆个数相同，取出最大和最小值取平均，否则，取size大的那个root 元素。,是
297,297. Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,记录下null节点，前序或者后序的序列化，可以反序列化，但是中序不行，还可以通过level的方法序列化和反序列化。前序，第一个元素为root，然后再递归构造left和right。后序，最后一个元素为root，然后在递归构造left和right。level方法，记录每一层，null也要放在queue中，然后序列化，反序列化，用一个queue，找到非null的left，right放在queue中。,是
300,300. Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,两层循环，0-n，然后看0-i，nums[i]>nums[j]可以+1，比较最大值。最后找最大的dp,是
301,301. 删除无效的括号,https://leetcode.com/problems/remove-invalid-parentheses/,pre string，当前括号要么用，要么不用，prestring到最后，判断是不是合法，比较长度，如果leftCount<0 剪枝。,是
303,303. Range Sum Query - Immutable,https://leetcode.com/problems/range-sum-query-immutable/,用一个preSum，1-n+1，通过preSum（j+1）- preSum（i）,否
304,304. Range Sum Query 2D - Immutable,https://leetcode.com/problems/range-sum-query-2d-immutable/,"用一个preSumMatrix，[n+1][m+1],preSum(row2+1)(col2+1)-(row1)(col2+1)-(row2+1)(col1)+(row1)(col1)查分数组，init-》diff数组，increase，i+val，j+1 - val，result",否
310,310. 最小高度树,https://leetcode.com/problems/minimum-height-trees/,先用graph拿到临接表，然后拿到叶子结点（边为1），将叶子结点拿掉，将相邻节点的临接表中去除边，如果边为1，那么加入叶子结点队列，继续去除叶子结点直到只有两个节点。返回list。,是
313,313. Super Ugly Number,https://leetcode.com/problems/super-ugly-number/,用一个PriorityQueue来记录候选值，当前index，当前prime，不断的合并队列，过滤重复的。,是
322,322. Coin Change,https://leetcode.com/problems/coin-change/,待补充,否
329,329. 矩阵中的最长递增路径,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/description/,遍历整个矩阵，有一个memo数组，和周边比较，如果比周边值小，那么就是+1，取最大的。,是
331,331. 验证二叉树的前序序列化,https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree/,非空节点，入-1，出+2，空节点，入-1，edge初始为1，遍历节点，如果edge<0返回错误，最后出入应该相等，也就是edge=0。或者用deserize的方法，确保nodes非空，如果遇到#，返回true，再判断左右是不是都是true。,是
337,337. House Robber III,https://leetcode.com/problems/house-robber-iii/,"dp[i] = max(do, notdo), do = val + left.left, left.right, right.left, right.rightnotdo = left, right.",是
343,343. Integer Break,https://leetcode.com/problems/integer-break/description/,"dp[0]=0; dp[1]=1, for i - [2-n], for j - [1,i], dp[i] = max(j*max(dp[i-j], i-j))",是
344,344. Reverse String,https://leetcode.com/problems/reverse-string/,左右指针,否
354,354. Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes/,先将信封按照宽度从大到小排序，同长度从小到大排序，然后求长度的最大自增子序列,否
368,368. Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/description/,"****dp[0] = {nums[0]}, dp[i], for (0-j) if nums[i] % last ele in dp[j] and size>current, {dp[j], nums[i]}, get max list.",否
372,372. Super Pow,https://leetcode.com/problems/super-pow/,"先计算a % 1337，然后计算first，first = a^b[length-1], 再计算second（递归）^10,first*second%1337",否
373,373. 查找和最小的 K 对数字,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/,都是K的有序数组的排序，用PriorityQueue,否
378,378. 有序矩阵中第 K 小的元素,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,都是K的有序数组的排序，用PriorityQueue,否
380,380. Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/description/,用一个map记录value/index，用一个list记录values，insert，如果map中不存在，将values加入list，value，list.size-1加入map，remove，如果map中存在，取出index，将最后一个元素放到list的index位置，remove value/index from map，getRandom，拿一个随机数（1-list，size），从list中取数。,是
382,382. Linked List Random Node,https://leetcode.com/problems/linked-list-random-node/,"index=0,random (index)==0 替换新值,",是
383,383. Ransom Note,https://leetcode.com/problems/ransom-note/description/,用两个26的数组记录每个字符值，保证ransomNode的每个值都《magazine的。,否
384,384. Shuffle an Array,https://leetcode.com/problems/shuffle-an-array/,用p=i+random（length-i），来确定要不要swap，i和p,否
388,388. 文件的最长绝对路径,https://leetcode.com/problems/longest-absolute-file-path/,用\n分路径，用\t知道第几层目录，如果堆栈长度比较长，出栈，遇到文件计算长度，否则压栈。155，用两个栈，一个栈记录最小值，push的时候看栈顶和当前元素，如果小，压入当前元素，否则压入栈顶元素。pop的时候都pop，getmin拿最小栈的peek,否
392,392. Is Subsequence,https://leetcode.com/problems/is-subsequence/,找到两个postion，取出s的char，在t中找到对应的char，t++，s++，如果最后s position等于s长度，返回true。,否
395,395. 至少有 K 个重复字符的最长子串,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters/,计算包含x个不同字符的k个重复字符的最长字串，然后1-》26找到最长的,是
398,398. Random Pick Index,https://leetcode.com/problems/random-pick-index/,等于target的来记录index，按照ramdom（index）来选择是不是选当前i。,否
399,399. 除法求值,https://leetcode.com/problems/evaluate-division/,构造带权值的图，然后做bfs，将边的权值相乘。,否
402,402. 移掉 K 位数字,https://leetcode.com/problems/remove-k-digits/,让数字单调增，如果不是就是删除的位，直到k==0，如果0，那么继续，首位不能为0，如果k还大于零，pop栈，如果空，返回0，最后反向排序。,是
410,410. Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/,待补充,否
416,416. Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/description/,"target = sum/2, for i = 1-nums.length, for j = target to 1, if (j-nums[i]≥0), dp[j] = dp[j] or dp[j-nums[i]]",否
424,424. 替换后的最长重复字符,https://leetcode.com/problems/longest-repeating-character-replacement/,记录每个字符的长度，找到最长的那个，right-left-最长的>k就需要移动left，记录max,否
427,427. Construct Quad Tree,https://leetcode.com/problems/construct-quad-tree/description/,"分为topLeft（0，0，n/2，n/2）topright（0，n/2，0，n），（n/2，0，n，n/2）bottomLeft，（n/2，n/2，n，n）bottomRight，四个区域，拿到Node，如果四个node都是isLeaf，而且val相同，那么返回leaf node with val。如果n==1，那么返回leaf node with gird[top][left], 否则leaf=false，赋值四个child。",否
433,433. 最小基因变化,https://leetcode.com/problems/minimum-genetic-mutation/,将start加入队列，step=0，取出队列curr，如果等于end，返回step，从bank中取出candidate next，记录visited set，过滤visited，将剩下的加入队列，step++，直到队列为空，返回-1,否
435,435. Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,按照end排序，找到start ≥end count+1，然后新的end，length-count就是可以移除的,否
438,438. Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,need map记录target 字符和个数，window map记录当前的字符和个数，valid记录符合条件的字符个数，window某个字符个数=need某个字符个数，那么valid++，如果valid=need的size，记录left，再缩小left，字符个数- -，直到right-left的长度小于target的字符串。,否
445,445. 两数相加 II,https://leetcode.com/problems/add-two-numbers-ii/,待补充,否
450,450. Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst/,如果比当前大，在右边删，比当前小，在左边删，要删当前节点，如果只有一个叶子，叶子提上来，不然找左边的最小作为root。,是
452,452. Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,有多少非重复区域，就需要多少箭，注意=也是可以的。,是
473,473. 火柴拼正方形,https://leetcode.com/problems/matchsticks-to-square/,分成4个相同子集，需要用memo来剪枝，将used数组变成二进制保存。,是
494,494. Target Sum,https://leetcode.com/problems/target-sum/,"goal = (target+sum)/2, 转化为416**",否
496,496. Next Greater Element I,https://leetcode.com/problems/next-greater-element-i/,待补充,否
502,502. IPO,https://leetcode.com/problems/ipo/description/,待补充,否
503,503. Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii/,将数组加倍，计算greater map,否
509,509. Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,从0，1开始循环,否
515,515. 在每个树行中找最大值,https://leetcode.com/problems/find-largest-value-in-each-tree-row/,待补充,否
518,518. Coin Change II,https://leetcode.com/problems/coin-change-ii/,"dp[0] = 1, for i= 1-nums.length, for j 1 to amount, if (j-nums[i]≥0), dp[j]=dp[j]+dp[j-nums[i]];",是
526,526. 优美的排列,https://leetcode.com/problems/beautiful-arrangement/,backtrack，used记录使用过的，for 1-n，start，start%i or i%start。,是
528,528. Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/,"前缀和，然后[1, presum[n-1]]中找随机数，二分查找找最右侧。",是
538,538. Convert BST to Greater Tree,https://leetcode.com/problems/convert-bst-to-greater-tree/,同1038,否
